name,path,emotion
64831a87d9f56915da41ef35,64831a87d9f56915da41ef35.wav,kiểm tra tình trạng thiết bị
64830027271e6f39323a3048,64830027271e6f39323a3048.wav,bật thiết bị
64831b57d9f5691e0441ef65,64831b57d9f5691e0441ef65.wav,mở thiết bị
64832eb5d9f569841c41f656,64832eb5d9f569841c41f656.wav,đóng thiết bị
64833120d9f569ba8541f752,64833120d9f569ba8541f752.wav,giảm độ sáng của thiết bị
64833571d9f569cd3c41f901,64833571d9f569cd3c41f901.wav,giảm độ sáng của thiết bị
64833f8ad9f569f3c341ff2e,64833f8ad9f569f3c341ff2e.wav,tăng mức độ của thiết bị
64833ffbd9f5695af141ffa2,64833ffbd9f5695af141ffa2.wav,mở thiết bị
6483491dd9f569488b42057a,6483491dd9f569488b42057a.wav,đóng thiết bị
648349d7d9f569a79342063b,648349d7d9f569a79342063b.wav,đóng thiết bị
64831bb0d9f56988a941ef80,64831bb0d9f56988a941ef80.wav,kiểm tra tình trạng thiết bị
64832c19d9f5693fda41f53f,64832c19d9f5693fda41f53f.wav,kiểm tra tình trạng thiết bị
6483327fd9f56965ca41f7d9,6483327fd9f56965ca41f7d9.wav,bật thiết bị
64833383d9f569d72741f816,64833383d9f569d72741f816.wav,tắt thiết bị
64833782d9f5690cba41fa82,64833782d9f5690cba41fa82.wav,đóng thiết bị
648337d6d9f569422c41fadf,648337d6d9f569422c41fadf.wav,tắt thiết bị
64833aa8d9f569a0bc41fc87,64833aa8d9f569a0bc41fc87.wav,tăng độ sáng của thiết bị
6483423bd9f5696f4b42015e,6483423bd9f5696f4b42015e.wav,tăng nhiệt độ của thiết bị
64834575d9f56994ce4203aa,64834575d9f56994ce4203aa.wav,đóng thiết bị
648347bfd9f5699b694204a1,648347bfd9f5699b694204a1.wav,mở thiết bị
64834923d9f569564e4205a3,64834923d9f569564e4205a3.wav,kiểm tra tình trạng thiết bị
64834a3bd9f569ddb44206e7,64834a3bd9f569ddb44206e7.wav,đóng thiết bị
64831c44d9f569455a41efb7,64831c44d9f569455a41efb7.wav,đóng thiết bị
64831e65d9f569181141f045,64831e65d9f569181141f045.wav,kiểm tra tình trạng thiết bị
64832545d9f569a88f41f2e4,64832545d9f569a88f41f2e4.wav,tắt thiết bị
648328d6d9f569ebbc41f400,648328d6d9f569ebbc41f400.wav,mở thiết bị
64833643d9f56945e341f9c3,64833643d9f56945e341f9c3.wav,kiểm tra tình trạng thiết bị
6483034a271e6ffcff3a3062,6483034a271e6ffcff3a3062.wav,tăng mức độ của thiết bị
648337cbd9f569069241facc,648337cbd9f569069241facc.wav,tắt thiết bị
